DNE,positive_DNE,surface_area,positive_surface_area,Diet,Genus
0.134752419405204,0.116051215761799,0.0020844594617081,0.0017537682666124,NA,Donrusselia
0.133532323863368,0.115415573381018,0.0019977447104084,0.0016520070157552,NA,Donrusselia
0.131462362071096,0.112864271680952,0.0019243826771899,0.0016255949554594,NA,Plesiadapidea
0.119059069959234,0.104299704364984,0.0019250401045001,0.0016629296034945,NA,Plesiadapidea
0.153219866556726,0.135458680569354,0.0020204304898433,0.0017272696585477,NA,Plesiadapidea
0.167348794070591,0.147907329532377,0.0021310233104727,0.0018203184099046,Insectivore,Ptilocercus
0.161458323174991,0.142537629157385,0.0020243102829628,0.0017222669422775,Insectivore,Ptilocercus
0.118123179576255,0.105877212075872,0.0018559721455443,0.0015835025146226,Omnivore,Cheirogaleidae
0.124920657825671,0.109731128603549,0.0018121123888666,0.0015152369200787,Omnivore,Cheirogaleidae
0.162014907687881,0.145451060841452,0.0021234003725016,0.0018364667499805,Insectivore,Arctocebus
0.15435800388228,0.131761555872808,0.0021702703142548,0.0018032943673791,NA,Altanius
0.146475771062617,0.123552875927038,0.0020621792877772,0.0017320447393894,NA,Altanius
0.176042329948556,0.148335908265848,0.0020407774047669,0.0016662836035059,NA,Plesiadapidea
0.152006639817336,0.131991067751757,0.0019445096339283,0.0016591582437821,NA,Plesiadapidea
0.12614354489477,0.109668103716976,0.0019560570869418,0.0016672837467809,NA,Plesiadapidea
0.125023991242521,0.107360302862696,0.001954890783724,0.0016706185690629,NA,Plesiadapidea
0.12042046488869,0.107972869479898,0.0019494635164304,0.0017006805134302,NA,Paromomys
0.217072866530973,0.183808358480723,0.002357331139656,0.0019892012008265,Insectivore,Tupaia
0.213239231967886,0.181924771240482,0.0023148363573722,0.001939859983677,Insectivore,Tupaia
0.211333793642903,0.178729043684364,0.0023848060901645,0.0019914495674791,Insectivore,Tupaia
0.22491727497252,0.189961282394336,0.0023229423443574,0.0019248868414205,Insectivore,Tupaia
0.108694242442594,0.0989576926726417,0.0018361044490698,0.0016261819893734,Omnivore,Nycticebus
0.142210899916726,0.127102739779218,0.0019702258037711,0.0016832049871932,Omnivore,Nycticebus
0.148634540333392,0.134417797836435,0.0019689031834316,0.001708703510243,Folivore,lepilemur
0.143896255457596,0.13242798417411,0.001883052717787,0.0016274525668289,Folivore,lepilemur
0.130280477037292,0.11877381682195,0.0018486065714953,0.0015891019878899,Folivore,lepilemur
0.128198702672883,0.118399804711112,0.0017972453888424,0.0015686437551474,Folivore,lepilemur
0.116770609575283,0.105433920997939,0.0016755318671313,0.0014067443775351,Frugivore,Lemuridae
0.142915336255336,0.131117007475054,0.0017924537792309,0.0015438681305028,Frugivore,Lemuridae
0.14213403850784,0.128562755033822,0.0018881640928103,0.0015996318425508,Omnivore,Cheirogaleidae
0.147105085138697,0.131926591545735,0.0019078768165805,0.0016137872841135,Omnivore,Cheirogaleidae
0.138672761649257,0.125628929307177,0.0018536697157776,0.0015554523652738,Omnivore,Cheirogaleidae
0.180827368007529,0.163275479337365,0.0020648585628197,0.0017846984406909,Insectivore,Loris
0.187644979280991,0.164668200632001,0.002242306906577,0.0018858833614434,Insectivore,Loris
0.167279848317326,0.147624851320215,0.0021374414741874,0.0018358333919403,Insectivore,Loris
0.174626319042036,0.155958397705348,0.0021607726637924,0.0018627101669122,Insectivore,Galago
0.172453613704215,0.153648281701946,0.002271014037108,0.0019379402568592,Insectivore,Galago
0.162670505074963,0.144586614610598,0.0020808453948914,0.001775892059024,Insectivore,Galago
0.164235601990844,0.148913218770709,0.0022106440774319,0.0019447154719099,Insectivore,Galago
0.109806241805651,0.105869797612652,0.00155040690069,0.0013347924714568,Frugivore,Cheirogaleus
0.130687238875566,0.114455689020462,0.0018463078051077,0.0015605836659585,Omnivore,Cheirogaleidae
0.0772544681713803,0.0726107434531946,0.0015174489163318,0.0013205500948581,Frugivore,Cheirogaleus
0.0989626278643655,0.0917142503498199,0.0015859132993491,0.0013423547114817,Frugivore,Cheirogaleus
0.167809101205235,0.149887693031567,0.0021199249249142,0.0018013339445527,Insectivore,Galago
0.17041884547638,0.152111888647409,0.00216096314054,0.001843243306837,Insectivore,Galago
0.17395519993496,0.154284194689402,0.0022316544696869,0.001903317530264,Insectivore,Galago
0.165746690934496,0.148289948933826,0.0020201375848404,0.0017108179886761,Insectivore,Tarsius
0.164938925126928,0.145701419452633,0.0020200772255008,0.0016961726294426,Insectivore,Tarsius
0.179939069973658,0.160026425781911,0.0021183601414259,0.0017996942100997,Insectivore,Tarsius
0.180271094927885,0.154147451955417,0.002149114885971,0.0017779607520398,Insectivore,Tarsius
0.182019049992466,0.160661727650243,0.0022207437539409,0.0018715697450565,Insectivore,Tarsius
0.208489064084889,0.180761832903022,0.002404995222452,0.0020440560226225,Insectivore,Arctocebus
0.162390668960181,0.146977766717893,0.0019929651049012,0.0016884333139842,Insectivore,Arctocebus
0.129839600042818,0.114371986946908,0.0019102888116002,0.0016185022574912,Omnivore,Nycticebus
0.147788224917198,0.132363884396449,0.0018998533474663,0.0015982643106353,Omnivore,Cheirogaleidae
0.105011117838861,0.090822008500855,0.0018956581872195,0.0016152118010439,NA,Cantius
0.118440375103134,0.101930135525901,0.0020608819678317,0.0017579645946408,NA,Cantius
0.12247542960084,0.106130352142606,0.0020450948879752,0.0017450787904172,NA,Cantius
0.0967277298851741,0.0875655902539765,0.0019183232901892,0.0016921753074993,NA,Cantius
0.115921079930816,0.100503859616957,0.0019205274407469,0.0016212756505026,NA,Teilhardina
